ID	MolecularWeight	ResidueCount	ResidueWeight	Charge	IsoelectricPoint	ExtinctionReduced	ExtinctionBridges	ReducedMgMl	BridgeMgMl	Probability_pos_neg
KAJ7421106.1	40875.88	358	114.178	15.5	8.9778	107370	107870	627	639	-0.746
KAJ7396366.1	40738.78	358	113.795	16.5	9.1677	101870	102370	501	513	-0.769
KAI6072612.1	40439.39	358	112.959	13.5	8.5615	100380	100880	482	495	-0.713
KAI1230272.1	41753.77	370	112.848	9.5	8.1176	107370	107870	572	583	-0.701
XP_040473657.1	40817.94	358	114.017	14.5	8.8102	101870	102370	496	508	-0.704
XP_040392851.1	40479.41	358	113.071	13.0	8.5602	100380	100880	480	492	-0.704
XP_039553177.1	40585.46	358	113.367	10.0	8.1225	112870	113370	781	793	-0.660
XP_010411101.1	40804.74	358	113.980	11.5	8.3986	107370	107870	631	644	-0.687
XP_027601652.2	40566.52	358	113.314	15.5	8.7081	96370	96870	376	388	-0.721
XP_038019160.1	40555.43	358	113.283	9.5	8.1180	107370	107870	647	660	-0.670
